
2017-06-19 10:19:01 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:19:01 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:19:01 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:19:02 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:19:02 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:19:02 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:19:02 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:19:02 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:19:31 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:19:31 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:19:31 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:48:38 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:48:39 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:48:41 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:48:41 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:48:42 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:50:27 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:50:27 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:50:27 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:50:35 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:50:35 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:50:35 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:50:35 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:50:35 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:51:15 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:51:16 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 10:51:16 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 10:51:16 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 10:51:16 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 10:52:08 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 10:52:08 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
